paper_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,defect_locus,notes
coppock_2020,Figure 17.4,Panel b confidence intervals ignore clustering and are narrower,widths 59 and 51 against 174 and 107,narrower,1,widths 59 and 51 against 174 and 107,1,,Same sentence as the row above; the unclustered intervals are about a third as wide
coppock_2020,Figure 17.4,Panel b vertical axis label,Outcome variable: Classroom Average SAT score,Outcome variable: SAT score,0,Outcome variable: Classroom Average SAT score,0,archive,"The deposited script gives both panels the class-mean wording. The book restyled every axis label to sentence case, and in panel (b) the restyling also dropped ""classroom average"", which is a correction rather than a house style change, since panel (b) plots students. Running the deposited script does not produce the published label"
coppock_2020,Figure 17.4,Clustering can be handled by clustered standard errors or by weighting class means,both give 159.884,either approach,1,both give 159.884,1,,"Chapter: ""either by using clustered standard errors or by aggregating outcomes to the cluster-level and weighting the difference-in-means estimator by cluster size"". The two point estimates agree to 2e-13 and the standard errors to 7.1e-14; only the degrees of freedom differ"
coppock_2020,Figure 17.5,N,100,NA,NA,100,NA,,Not stated in the chapter
coppock_2020,Figure 17.5,The vertical scale of both facets is the same but their range is not,10 units in each facet; 0 to 10 against -5 to 5,the same scale but not the same range,1,10 units in each facet; 0 to 10 against -5 to 5,1,,"Chapter: ""the vertical scale of both facets (but not their range) is set to be the same"""
coppock_2020,Figure 17.5,The residual on residual slope equals the multiple regression estimate,1.9796,exactly equal,1,1.9796,1,,"Chapter: the best linear summary of the residuals ""will be exactly the estimate obtained from the multiple regression"". The two agree to 0. The deposited script asserts in a comment that the standard errors are ""v. slightly off"" while the point estimates are fine, and both halves hold: the standard errors are 0.09486 against 0.09398"
coppock_2020,Figure 17.6,N,1189,NA,NA,1189,NA,,"Not stated in the chapter; the design samples 2,500 units with probability pnorm(X)"
coppock_2020,Figure 17.6,Negative effects at low covariate values and positive effects at high ones,-3.64 at X = -2 and 4.40 at X = 2,negative at low and positive at high,1,-3.64 at X = -2 and 4.40 at X = 2,1,,"Chapter: ""The model estimates negative effects for low values of the covariate and positive effects for high values of the covariate"""
coppock_2020,Figure 17.6,The linear model fits worst at low covariate values,mean residual 10.16 in the lowest bin,"does not fit well, especially at low values",1,mean residual 10.16 in the lowest bin,1,,"Chapter: ""the statistical model does not fit the data particularly well, especially at low values of the covariate"". Binning the covariate in half-unit steps, the largest mean residual is in the lowest bin. The fit is also poor at the top of the range, where the chapter does not say it is"
coppock_2020,Figure 17.7,N,600,NA,NA,600,NA,,Not stated in the chapter
coppock_2020,Figure 17.7,N per assigned arm,300,NA,NA,300,NA,,Not stated in the chapter
coppock_2020,Figure 17.7,Noncompliance is two-sided,treatment arm 0.667 and control arm 0.167,two-sided,1,treatment arm 0.667 and control arm 0.167,1,,"Caption: ""Simulated experiment encountering two-sided noncompliance"". Some control units take the treatment and some assigned units do not, so the label holds"
coppock_2020,Figure 17.8,N,200,NA,NA,200,NA,,Not stated in the chapter
coppock_2020,Figure 17.8,N missing an outcome,19,NA,NA,19,NA,,Not stated in the chapter
coppock_2020,Figure 17.8,Outcome on a seven point Likert scale,2 to 7,seven point Likert,1,2 to 7,1,,"Chapter: ""the outcome variable (measured on a seven-point Likert scale)"". The realised draws use six of the seven categories, running 2 to 7"
coppock_2020,Figure 17.8,Lower bound group means are very similar and the worst case effect is near zero,"4.35 and 4.35, a difference of 0.00",very similar and close to zero,1,"4.35 and 4.35, a difference of 0.00",1,,"Chapter: ""the resulting group means (shown as large black points) are very similar in treatment and control, so the implied worst-case treatment effect estimate is very close to zero"". They are in fact equal to two decimal places"
coppock_2020,Figure 17.8,Upper bound effect is close to a full scale point,1.14,close to a full-scale point,1,1.14,1,,"Chapter: ""The upper-bound treatment effect estimate is close to a full-scale point"" and the ATE ""is likely to lie somewhere between zero and one"". The bounds are 0.00 to 1.14, so the upper bound sits a little above the full point the chapter brackets it at"
